#{"t_start": 1744231185.634812, "env_id": "Humanoid-v5"}
r,l,t
107.239905,25,45.819767
58.450988,14,45.853829
93.139238,22,45.914753
60.571498,16,45.952783
84.396712,22,46.005909
126.159492,28,46.076863
81.943412,19,46.123089
100.689834,24,46.181871
84.764661,22,46.235618
87.927353,21,46.291268
103.592444,24,46.354418
87.036294,20,46.405975
121.997086,27,46.477104
146.984383,31,46.578539
85.237927,22,46.629082
95.027623,23,46.692079
95.758704,24,46.749942
132.170186,29,46.824306
123.94877,28,46.896063
84.108061,21,46.94754
65.599665,17,46.99074
102.259677,25,47.050927
81.935076,20,47.097041
76.638355,18,47.140336
93.887333,23,47.198098
106.998146,25,47.259848
62.342068,15,47.296216
69.830175,17,47.338166
89.209011,21,47.39025
72.568309,19,47.441816
105.732894,24,47.50557
82.166295,21,47.557083
67.617185,16,47.594832
93.400276,22,47.645296
133.084824,28,47.713258
87.840416,22,47.765688
100.873698,25,47.825
92.852351,22,47.877653
87.073039,22,47.93584
79.056717,19,47.981966
118.061143,27,48.051875
79.367072,19,48.096645
106.73059,24,48.155487
102.238695,24,48.219297
83.261779,21,48.274261
74.2709,18,48.317651
74.518345,19,48.364375
132.396668,29,48.438226
93.29449,22,48.493004
72.222043,18,48.543401
98.993451,24,48.604285
93.950931,22,48.660699
70.832897,18,48.706227
82.376537,20,48.756645
105.781492,24,48.820157
67.823936,16,48.859786
80.082195,20,48.908715
90.069292,23,48.965116
98.869327,24,49.025793
106.642747,25,49.08965
68.594671,17,49.131788
181.114618,38,49.226739
60.824074,16,49.265546
73.932862,19,49.31426
82.051918,20,49.368521
82.207778,19,49.414224
116.76913,27,49.479994
68.977837,18,49.523577
76.819556,20,49.572541
113.142781,26,49.638978
126.108003,28,49.707927
108.036389,24,49.767144
100.287532,25,49.830105
92.62668,23,49.892629
75.535441,19,49.942273
102.74733,23,50.001482
74.221677,18,50.049248
103.784863,25,50.112495
94.173459,22,50.172908
77.709512,19,50.218642
98.409155,23,50.272893
69.971552,19,50.319384
84.464372,21,50.371066
101.757125,25,50.432278
110.444949,25,50.50042
101.949191,24,50.565889
82.371962,20,50.625535
91.03092,21,50.684745
128.942766,28,50.755808
64.413779,16,50.795678
102.002416,24,50.854481
87.236856,21,50.905837
105.344454,24,50.963738
105.626292,24,51.020012
97.959082,23,51.077508
79.918559,19,51.126279
74.787497,19,51.173665
92.128883,22,51.230016
88.101322,21,51.280767
97.192487,24,51.339596
75.667378,18,51.38383
93.740131,23,51.445201
81.360807,20,51.494091
